polynomial_degree,exposure_columns,avg_sharpe,median_sharpe,turnover,avg_maxdd,max_exposure,rank_failures
1,2,-0.12008507559369076,-0.16338463723774296,0.8205663442889018,-0.30656802010325346,4.641189523216793e-16,0
2,3,-0.14351350735441565,-0.13286973391327045,0.8418260902946565,-0.27448863342178775,1.157927920214519e-15,0
3,4,-0.1647719414426219,-0.1439167656158978,0.8856962349347589,-0.26180020572874624,4.829470157119431e-15,0
4,5,-0.14663139412186604,-0.1247355223128801,0.8840170884709365,-0.23546448467760014,2.045846131393247e-14,0
