universe,strategy_id,period,start,end,sharpe,delta_sharpe_vs_full_target,avg_turnover,delta_turnover_vs_full_target,maxdd,delta_maxdd_vs_full_target,max_abs_exposure
Sector,defensive_momentum_nc,middle,2009-05-14,2017-08-24,-0.2195329766413302,0.212599675567153,0.1431875830288453,-0.6894427956622277,-0.077002601029776,0.148788256978354,1.3690720726916342e-16
Sector,defensive_momentum_nc,late,2017-08-25,2025-12-11,0.2007590425597335,0.2984545819464916,0.1887354916808837,-0.6603802952399893,-0.0680483011329655,0.0877458563179751,1.3162834740432427e-16
Sector,ensemble_continuous_nc,early,2001-01-03,2009-05-13,0.153462935052552,0.3808367035169293,0.2639488220947876,-0.6249159274690008,-0.1443925955307173,0.0997581495315953,4.623816877148466e-16
Sector,ensemble_continuous_nc,middle,2009-05-14,2017-08-24,0.0475212034804948,0.4796538556889781,0.2994099744974472,-0.5332204041936258,-0.1156062733101287,0.1101845846980014,2.827489055168848e-16
Sector,ensemble_continuous_nc,late,2017-08-25,2025-12-11,0.2908575902203934,0.3885531296071515,0.3089785137361924,-0.5401372731846806,-0.1124109159594596,0.043383241491481,2.8157139211789496e-16
Sector,reversal_continuous_nc,early,2001-01-03,2009-05-13,0.3058209133426365,0.5331946818070138,0.6026026702232744,-0.2862620793405139,-0.1572812663818464,0.0868694786804662,8.493597666407679e-16
Sector,reversal_continuous_nc,middle,2009-05-14,2017-08-24,0.6509913507020254,1.0831240029105087,0.7002750117936137,-0.1323553668974593,-0.0661363132761578,0.1596545447319722,3.333258043027071e-16
Sector,reversal_continuous_nc,late,2017-08-25,2025-12-11,0.1135484732603653,0.2112440126471234,0.7247263209483367,-0.1243894659725364,-0.1923826502044758,-0.0365884927535351,5.13083306986232e-16
Style,defensive_momentum_nc,early,2006-02-28,2012-09-24,-0.1209552263691058,-0.0369059130610862,0.1176542538749138,-0.8360193082023696,-0.060875054176033,0.0706593904414284,3.67747325935492e-16
Style,defensive_momentum_nc,middle,2012-09-25,2019-04-29,0.0518057073482817,-0.1013552707971191,0.2058137892846649,-0.7468644088558037,-0.023025127882326,0.0411552422356478,2.1661194153995562e-16
Style,defensive_momentum_nc,late,2019-04-30,2025-11-28,-0.0388754574899058,0.1369909746101806,0.2126701177632649,-0.7377221065979568,-0.0509428055140022,0.1294519916916041,2.490726296240273e-16
Style,ensemble_continuous_nc,early,2006-02-28,2012-09-24,0.1736456013273036,0.2576949146353232,0.282375195205881,-0.6712983668714023,-0.0874205642100688,0.0441138804073926,4.1985578352962944e-16
Style,ensemble_continuous_nc,middle,2012-09-25,2019-04-29,0.2309238938612213,0.0777629157158204,0.4369382487023272,-0.5157399494381414,-0.0461548106042515,0.0180255595137223,6.636522475259914e-16
Style,ensemble_continuous_nc,late,2019-04-30,2025-11-28,-0.210726778161099,-0.0348603460610125,0.4049143037080852,-0.5454779206531366,-0.1232688544352014,0.0571259427704049,5.282688413208363e-16
Style,reversal_continuous_nc,early,2006-02-28,2012-09-24,0.2558030539367852,0.3398523672448048,0.3394764279854776,-0.6141971340918058,-0.0760207676219588,0.0555136769955025,6.608521514736951e-16
Style,reversal_continuous_nc,middle,2012-09-25,2019-04-29,0.044180201749213,-0.1089807763961878,0.7992028577208354,-0.1534753404196331,-0.0595440295966852,0.0046363405212885,8.827506425640233e-16
Style,reversal_continuous_nc,late,2019-04-30,2025-11-28,-0.4997407498533117,-0.3238743177532251,0.6402308842381569,-0.3101613401230648,-0.1565304815620409,0.0238643156435653,4.3526089723429245e-16
GlobalCountries,defensive_momentum_nc,early,2006-01-04,2012-08-22,-0.2177379827848268,0.3095743849828254,0.2059632632980728,-0.7023900439510922,-0.0708585631995792,0.1269855234778689,4.3541559247017863e-16
GlobalCountries,defensive_momentum_nc,middle,2012-08-23,2019-04-17,-0.2945520134139574,0.2742804791594411,0.2451381447591851,-0.7002401438980519,-0.0969680400501873,0.1062118097824857,8.743006318923109e-16
