universe,full_target_sharpe,full_target_turnover_reduction,mom_sharpe,mom_turnover_reduction,ensemble_sharpe,ensemble_turnover_reduction,reversal_sharpe,reversal_turnover_reduction
Country,-0.1068019337366209,0.0,0.0484569075934017,0.7457389806772339,0.0751784859132141,0.4622072259415978,0.1045731880766656,0.2646247509356587
GlobalCountries,-0.4896885142913291,0.0,-0.0586125510669314,0.7453889958858224,0.0467862141534558,0.5458229005682222,0.4990258224949344,0.0559232891490674
US large-cap sample,-0.1810315974951746,0.0,-0.005550533516525,0.7448022417104556,0.1931271347064126,0.6351399896457598,0.2821355853831733,0.0333205844165757
Sector,-0.2374052413271902,0.0,0.1173653050012762,0.8043474877539821,0.1592453054073992,0.6606498069472362,0.3206683899947306,0.2112365231956499
Style,-0.0672735636120461,0.0,-0.0550748297361246,0.8123254432959418,0.0460551315992915,0.6064653487729381,-0.0597516864139114,0.3772945074717131
USBonds,0.0935692018066293,0.0,0.3068630586983527,0.8212867464124718,0.1014982103663505,0.6537275406002037,0.0200290624417525,0.4350672395902965
