realised_cost_bps,strategy_id,avg_sharpe,median_sharpe,avg_delta_sharpe_vs_full_target,wins_vs_full_target,avg_turnover_reduction_vs_full_target,avg_maxdd_improvement_vs_full_target,max_abs_exposure
0.0,ensemble_continuous_nc,0.1607312476127774,0.1636438997358141,0.2081564788877247,5,0.5940021354126596,0.1054060540658131,2.6471880243406076e-15
0.0,defensive_momentum_nc,0.1097881766076089,0.0748787422453782,0.1572134078825562,5,0.7789816492893179,0.1378799656404304,1.7590096046404824e-15
0.0,reversal_continuous_nc,0.3007786732872358,0.2890045964458383,0.348203904562183,4,0.2295778157931602,0.0946463846307316,4.9682480351975755e-15
5.0,ensemble_continuous_nc,0.1036484136910206,0.0883383481397823,0.2684203551336426,6,0.5940021354126596,0.1390200464936299,2.6471880243406076e-15
5.0,defensive_momentum_nc,0.0589078928289082,0.0214531870384383,0.2236798342715302,6,0.7789816492893179,0.1725404341022417,1.7590096046404824e-15
5.0,reversal_continuous_nc,0.1944467269962242,0.1933543867299194,0.3592186684388461,5,0.2295778157931602,0.1238143649795239,4.9682480351975755e-15
10.0,ensemble_continuous_nc,0.0466173643995896,0.0119972083049804,0.3282047014348389,6,0.5940021354126596,0.1847947435128676,2.6471880243406076e-15
10.0,defensive_momentum_nc,0.008055280893965,-0.0319436621645784,0.2896426179292142,6,0.7789816492893179,0.2198614337510916,1.7590096046404824e-15
10.0,reversal_continuous_nc,0.0882390000094524,0.0836024566991514,0.3698263370447017,5,0.2295778157931602,0.1669113626635878,4.9682480351975755e-15
25.0,ensemble_continuous_nc,-0.1228919864093491,-0.2039057804285097,0.5009410193935587,6,0.5940021354126596,0.2891636965740141,2.6471880243406076e-15
25.0,defensive_momentum_nc,-0.1438150931491172,-0.1914932331656849,0.4800179126537907,6,0.7789816492893179,0.3443076515156973,1.7590096046404824e-15
25.0,reversal_continuous_nc,-0.22335360913589,-0.2402316359773818,0.4004793966670177,6,0.2295778157931602,0.2532003387247077,4.9682480351975755e-15
50.0,ensemble_continuous_nc,-0.3933415551493315,-0.5044933680683997,0.7497136578922451,6,0.5940021354126596,0.3703830428630754,2.6471880243406076e-15
50.0,defensive_momentum_nc,-0.391661997499503,-0.4525811389086758,0.7513932155420736,6,0.7789816492893179,0.4762454062000987,1.7590096046404824e-15
50.0,reversal_continuous_nc,-0.6909823093862933,-0.7368816286530009,0.4520729036552833,6,0.2295778157931602,0.2423122397967595,4.9682480351975755e-15
100.0,ensemble_continuous_nc,-0.8571088763274362,-1.0279179331484518,1.0617916339419031,6,0.5940021354126596,0.3577428806311094,2.6471880243406076e-15
100.0,defensive_momentum_nc,-0.8492878952525006,-0.9210938656480104,1.0696126150168388,6,0.7789816492893179,0.5340949274444559,1.7590096046404824e-15
100.0,reversal_continuous_nc,-1.3654945746854674,-1.4819547199994645,0.553405935583872,6,0.2295778157931602,0.1409024502313541,4.9682480351975755e-15
