strategy_id,mean_beta,median_beta,zero_beta_rate,one_beta_rate,interior_beta_rate,turnover
defensive_momentum_nc,0.17502632525918585,0.25,0.03843721147076025,0.0,0.9615627885292398,0.19623319045031673
ensemble_continuous_nc,0.3145408156267772,0.12,0.09671752178556907,0.182916043046075,0.720366435168356,0.362050666398126
reversal_continuous_nc,0.4654630947630516,0.23,0.09456976980365513,0.37927736774311804,0.5261528624532268,0.6824457553075506
