universe,max_bound_ratio,median_bound_ratio,min_linearity_r2,stress_pass_rate
Country,0.6641103763320347,0.0928965892034839,0.9893135761941034,1.0
GlobalCountries,0.5788301225840481,0.0807226941147727,0.9829879364905728,1.0
US large-cap sample,0.4600297002633216,0.047430294204404005,0.9699167998813266,1.0
Sector,0.8370337105329987,0.2221377193551322,0.9935165663791375,1.0
Style,0.7634014272443919,0.1146600127198506,0.9892800602742342,1.0
USBonds,0.7957864702365861,0.30405970358192896,0.986472229456398,1.0
