universe,median_rank,min_neutral_dim,median_neutral_dim,median_condition,max_leakage
Country,4.0,6,6.0,2.1063303417280257,7.123626308172443e-16
GlobalCountries,4.0,12,12.0,3.5629405201894113,1.5369649997154509e-15
US large-cap sample,4.0,44,44.0,9.584003202442377,2.654126918244515e-15
Sector,4.0,7,7.0,1.0282225933248486,4.807086705191723e-16
Style,4.0,6,6.0,2.0319514658514826,6.482860694016748e-16
USBonds,4.0,9,9.0,6.018719531236717,9.073484536824606e-16
